Dataset,avg,best,time(s)
75lin105.txt,868,759,6305.332
5st70.txt,485.7,409,3432.079
5pr76.txt,740.167,684,5410.55
5eil76.txt,483.033,470,5564.448
5eil51.txt,751.433,690,2298.591
5berlin52.txt,922.633,920,1917.252
50rat99.txt,1266.533,1083,5365.606
50lin105.txt,1683.967,1292,7621.875
50kroB100.txt,,,
50kroA100.txt,,,
50eil101.txt,,,
25rat99.txt,,,
25lin105.txt,,,
25kroA100.txt,,,
25eil101.txt,,,
15st70.txt,,,
15pr76.txt,,,
15eil76.txt,,,
15eil51.txt,,,
15berlin52.txt,,,
10st70.txt,850.467,781,2899.914
10rat99.txt,1380.667,1192,6892.955
10pr76.txt,779.967,705,3709.608
10kroB100.txt,974.333,763,6445.717
10eil76.txt,867.5,818,5135.804
10eil51.txt,890.267,887,2779.842
10berlin52.txt,592.733,567,1790.026
